system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,hours_from_measurement,measurement_idx,ndvi,ndwi,.geo
4345_0,0.552,0.067,0.030000000000000002,0.0219,0.0745,0.08750000000000001,0.0641,0.0971,0.0723,0.0732,0.061200000000000004,0.056600000000000004,0.0809,0.0,6,18.56866861111111,4345,-0.023144454,0.17686617,"{""type"":""MultiPoint"",""coordinates"":[]}"
4346_0,0.228,0.0468,0.0117,0.0083,0.0424,0.059500000000000004,0.037000000000000005,0.0747,0.0438,0.0425,0.0352,0.0303,0.0264,0.0,6,3.4036794444444443,4346,-0.024930747,0.25659978,"{""type"":""MultiPoint"",""coordinates"":[]}"
4347_0,0.228,0.0468,0.0117,0.0083,0.0424,0.059500000000000004,0.037000000000000005,0.0747,0.0438,0.0425,0.0352,0.0303,0.0264,0.0,6,9.696320555555555,4347,-0.024930747,0.25659978,"{""type"":""MultiPoint"",""coordinates"":[]}"
4348_0,0.336,0.065,0.0164,0.0102,0.06720000000000001,0.0776,0.0514,0.0795,0.0534,0.054400000000000004,0.0446,0.0402,0.0194,0.0,6,44.464775277777775,4348,-0.07083333,0.2700491,"{""type"":""MultiPoint"",""coordinates"":[]}"
4349_0,0.336,0.065,0.0164,0.0102,0.06720000000000001,0.0776,0.0514,0.0795,0.0534,0.054400000000000004,0.0446,0.0402,0.0194,0.0,6,54.76477527777778,4349,-0.07083333,0.2700491,"{""type"":""MultiPoint"",""coordinates"":[]}"
4350_0,0.444,0.0616,0.0198,0.014700000000000001,0.060200000000000004,0.0669,0.044500000000000005,0.0756,0.0536,0.052500000000000005,0.041800000000000004,0.0362,0.0407,0.0,6,26.901648055555555,4350,-0.03128621,0.23091076,"{""type"":""MultiPoint"",""coordinates"":[]}"
4351_0,0.444,0.0616,0.0198,0.014700000000000001,0.060200000000000004,0.0669,0.044500000000000005,0.0756,0.0536,0.052500000000000005,0.041800000000000004,0.0362,0.0407,0.0,6,17.834981388888888,4351,-0.03128621,0.23091076,"{""type"":""MultiPoint"",""coordinates"":[]}"
4352_0,0.306,0.0345,0.0095,0.0066,0.028900000000000002,0.0347,0.021,0.0333,0.0199,0.019200000000000002,0.015700000000000002,0.014700000000000001,0.010700000000000001,0.0,6,1.5539322222222223,4352,-0.14441417,0.37698412,"{""type"":""MultiPoint"",""coordinates"":[]}"
4353_0,0.306,0.0345,0.0095,0.0066,0.028900000000000002,0.0347,0.021,0.0333,0.0199,0.019200000000000002,0.015700000000000002,0.014700000000000001,0.010700000000000001,0.0,6,7.4460677777777775,4353,-0.14441417,0.37698412,"{""type"":""MultiPoint"",""coordinates"":[]}"
4354_0,0.516,0.5638000000000001,0.2124,0.1995,0.6005,0.5187,0.44930000000000003,0.44930000000000003,0.41090000000000004,0.3986,0.4174,0.379,1.4500000000000002,1.0,9,45.164340277777775,4354,-0.036806278,0.10821494,"{""type"":""MultiPoint"",""coordinates"":[]}"
