system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,hours_from_measurement,ndvi,ndwi,sample_idx,.geo
77,0.798,0.16820000000000002,0.08660000000000001,0.0785,0.1295,0.1246,0.0978,0.1265,0.0748,0.0747,0.0627,0.062400000000000004,0.6521,0.12,10,102.33649333333334,-0.21869159,0.33048585,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.318,0.057800000000000004,0.0361,0.0313,0.0646,0.0682,0.0458,0.0645,0.0345,0.0351,0.033100000000000004,0.0261,0.16290000000000002,0.0,7,67.5858375,-0.16096324,0.34649557,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.318,0.057800000000000004,0.0361,0.0313,0.0646,0.0682,0.0458,0.0645,0.0345,0.0351,0.033100000000000004,0.0261,0.16290000000000002,0.0,7,79.00250416666667,-0.16096324,0.34649557,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.258,0.6127,0.2089,0.2263,0.5765,0.5805,0.5773,0.5812,0.5915,0.6055,0.6267,0.6067,0.4157,1.0,9,92.08339555555555,0.0410299,-0.038270377,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.258,0.6127,0.2089,0.2263,0.5765,0.5805,0.5773,0.5812,0.5915,0.6055,0.6267,0.6067,0.4157,1.0,9,102.08339555555555,0.0410299,-0.038270377,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.354,0.0165,0.0149,0.012,0.0222,0.033800000000000004,0.016800000000000002,0.0386,0.0118,0.0126,0.0066,0.005200000000000001,0.044700000000000004,0.0,6,91.75232166666666,-0.43589744,0.6732673,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.354,0.0165,0.0149,0.012,0.0222,0.033800000000000004,0.016800000000000002,0.0386,0.0118,0.0126,0.0066,0.005200000000000001,0.044700000000000004,0.0,6,102.085655,-0.43589744,0.6732673,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.114,0.37220000000000003,0.1956,0.17220000000000002,0.36920000000000003,0.35350000000000004,0.3275,0.3205,0.3684,0.4143,0.4218,0.42060000000000003,0.1335,1.0,9,116.00256361111111,0.1258508,-0.08809493,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.234,0.1855,0.2154,0.1961,0.14350000000000002,0.1675,0.1567,0.2073,0.23700000000000002,0.2504,0.2159,0.2515,0.9486,0.65,8,5.583620833333334,0.15888353,-0.12623891,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.504,0.09230000000000001,0.06770000000000001,0.0599,0.11030000000000001,0.10350000000000001,0.08370000000000001,0.1071,0.084,0.0824,0.099,0.0784,0.5332,0.06,10,67.41684305555556,0.08374384,0.022222223,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.504,0.09230000000000001,0.06770000000000001,0.0599,0.11030000000000001,0.10350000000000001,0.08370000000000001,0.1071,0.084,0.0824,0.099,0.0784,0.5332,0.06,10,77.91684305555556,0.08374384,0.022222223,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.10200000000000001,0.2384,0.2872,0.28090000000000004,0.2574,0.25220000000000004,0.2306,0.2696,0.2757,0.2788,0.2913,0.2737,0.38070000000000004,0.64,8,115.83365916666666,0.116305806,-0.07194112,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.198,0.6105,0.1792,0.18460000000000001,0.6117,0.6003000000000001,0.5925,0.5828,0.5949,0.6158,0.6478,0.6137,0.3723,0.89,9,5.503190277777778,0.044585988,-0.03805785,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.138,0.0329,0.0224,0.0171,0.041600000000000005,0.0589,0.036500000000000005,0.06520000000000001,0.038700000000000005,0.0431,0.0344,0.031,0.0492,0.0,6,43.753193055555556,-0.029619182,0.26259378,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.138,0.0329,0.0224,0.0171,0.041600000000000005,0.0589,0.036500000000000005,0.06520000000000001,0.038700000000000005,0.0431,0.0344,0.031,0.0492,0.0,6,54.16985972222222,-0.029619182,0.26259378,91,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.40800000000000003,0.0024000000000000002,0.0021000000000000003,0.0034000000000000002,0.0106,0.025500000000000002,0.0058000000000000005,0.0419,0.0077,0.0088,0.0,0.0,0.0031000000000000003,0.0,6,68.50443666666666,-1.0,1.0,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.40800000000000003,0.0024000000000000002,0.0021000000000000003,0.0034000000000000002,0.0106,0.025500000000000002,0.0058000000000000005,0.0419,0.0077,0.0088,0.0,0.0,0.0031000000000000003,0.0,6,78.83777,-1.0,1.0,93,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.324,0.0922,0.0354,0.0201,0.0809,0.09390000000000001,0.06860000000000001,0.0949,0.09050000000000001,0.0936,0.082,0.08,0.08800000000000001,0.0,7,68.58648805555555,0.08897743,0.06765208,94,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.324,0.0922,0.0354,0.0201,0.0809,0.09390000000000001,0.06860000000000001,0.0949,0.09050000000000001,0.0936,0.082,0.08,0.08800000000000001,0.0,7,78.50315472222222,0.08897743,0.06765208,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.45,0.9493,0.2303,0.26940000000000003,0.9085000000000001,0.9233,0.9331,0.9863000000000001,0.9809,0.9835,1.0028000000000001,0.9690000000000001,0.8145,0.65,8,116.41939027777778,0.036003925,-0.041275114,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.324,0.65,0.4015,0.3517,0.6502,0.5865,0.5467000000000001,0.5779000000000001,0.5373,0.5257000000000001,0.5288,0.4984,0.996,1.0,9,5.587108611111111,-0.016643422,0.051734958,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
