sample_idx,sample_dt,pond_id,region,farm,morning,hour,do_mg_per_L,ph,turbidity_cm,ammonia_mg_per_L,do_winkler,prev_matches_time,prev_sample_dt,prev_do_mg_per_L,prev_ph,prev_turbidity_cm,prev_ammonia_mg_per_L,prev_individuals_air_gulping,prev_individuals_tail_splashing,prev_dead_fish,prev_feed_amount_kg,prev_stocking_density_per_acre,prev_weight,prev_species_catla,prev_species_rohu,prev_species_roopchand,prev_species_grass_carp,prev_species_pangasius,prev_species_whiteleg_shrimp
9063,2025-03-07 16:03:00+05:30,NL-PSR1,NL,NL-PSR,False,16,10.6,8.96,,,True,True,2025-02-03 16:38:00+05:30,8.7,8.32,,,0.0,0.0,0.0,,2941.0,650.0,False,False,False,False,False,False
8412,2025-01-03 07:53:00+05:30,NL-PSR2,NL,NL-PSR,True,7,3.5,8.01,,0.13,True,,,,,,,,,,,,,,,,,,
8413,2025-01-03 17:03:00+05:30,NL-PSR2,NL,NL-PSR,False,17,8.9,8.35,,,True,,,,,,,,,,,,,,,,,,
8746,2025-02-03 08:00:00+05:30,NL-PSR2,NL,NL-PSR,True,8,3.2,8.03,,0.16,True,True,2025-01-03 07:53:00+05:30,3.5,8.01,,0.13,0.0,0.0,0.0,50.0,3378.0,450.0,False,False,False,False,False,False
8747,2025-02-03 16:52:00+05:30,NL-PSR2,NL,NL-PSR,False,16,8.7,8.38,,,True,True,2025-01-03 17:03:00+05:30,8.9,8.35,,,0.0,0.0,0.0,,3378.0,450.0,False,False,False,False,False,False
9064,2025-03-07 07:04:00+05:30,NL-PSR2,NL,NL-PSR,True,7,4.0,8.31,,0.16,True,True,2025-02-03 08:00:00+05:30,3.2,8.03,,0.16,0.0,0.0,0.0,60.0,3378.0,550.0,False,False,False,False,False,False
9065,2025-03-07 16:14:00+05:30,NL-PSR2,NL,NL-PSR,False,16,10.1,8.46,,,True,True,2025-02-03 16:52:00+05:30,8.7,8.38,,,0.0,0.0,0.0,,3378.0,550.0,False,False,False,False,False,False
8602,2025-01-23 07:53:00+05:30,NL-PVW1,NL,NL-PVW,True,7,3.9,8.09,,0.14,True,,,,,,,,,,,,,,,,,,
8603,2025-01-23 16:19:00+05:30,NL-PVW1,NL,NL-PVW,False,16,9.4,8.35,,,True,,,,,,,,,,,,,,,,,,
8899,2025-02-20 08:05:00+05:30,NL-PVW1,NL,NL-PVW,True,8,3.7,7.98,,0.11,True,True,2025-01-23 07:53:00+05:30,3.9,8.09,,0.14,0.0,0.0,0.0,120.0,3399.0,600.0,False,False,False,False,False,False
8900,2025-02-20 16:38:00+05:30,NL-PVW1,NL,NL-PVW,False,16,8.9,8.31,,,True,True,2025-01-23 16:19:00+05:30,9.4,8.35,,,0.0,0.0,0.0,,3399.0,600.0,False,False,False,False,False,False
8520,2025-01-20 07:38:00+05:30,NL-RAZ1,NL,NL-RAZ,True,7,3.9,8.07,,0.26,True,,,,,,,,,,,,,,,,,,
8521,2025-01-20 15:47:00+05:30,NL-RAZ1,NL,NL-RAZ,False,15,8.5,8.29,,,True,,,,,,,,,,,,,,,,,,
8522,2025-01-20 08:03:00+05:30,NL-SDR1,NL,NL-SDR,True,8,3.7,7.98,,0.11,True,,,,,,,,,,,,,,,,,,
8523,2025-01-20 16:03:00+05:30,NL-SDR1,NL,NL-SDR,False,16,8.7,8.29,,,True,,,,,,,,,,,,,,,,,,
8849,2025-02-14 07:09:00+05:30,NL-SDR1,NL,NL-SDR,True,7,3.9,8.01,,0.02,True,True,2025-01-20 08:03:00+05:30,3.7,7.98,,0.11,0.0,0.0,0.0,80.0,2631.0,800.0,True,True,False,False,False,False
8850,2025-02-14 16:26:00+05:30,NL-SDR1,NL,NL-SDR,False,16,9.0,8.34,,,True,True,2025-01-20 16:03:00+05:30,8.7,8.29,,,0.0,0.0,0.0,,2631.0,800.0,True,True,False,False,False,False
8434,2025-01-04 08:10:00+05:30,NL-SMS1,NL,NL-SMS,True,8,3.5,8.1,,0.21,True,,,,,,,,,,,,,,,,,,
8435,2025-01-04 16:45:00+05:30,NL-SMS1,NL,NL-SMS,False,16,8.4,8.41,,,True,,,,,,,,,,,,,,,,,,
8808,2025-02-10 08:18:00+05:30,NL-SMS1,NL,NL-SMS,True,8,3.9,8.03,,0.14,True,True,2025-01-04 08:10:00+05:30,3.5,8.1,,0.21,0.0,0.0,0.0,35.0,2907.0,600.0,True,True,False,False,False,False
