sample_dt,do_mg_per_L,turbidity_cm,ph,ammonia_mg_per_L,pond_id,do_in_range,ph_in_range,ammonia_in_range,turbidity_in_range,morning,time_of_day,ds
2022-08-16 07:20:00+05:30,3.7,28.0,7.88,0.02,NL-CHS1,within,within,within,within,True,morning,train
2022-08-16 17:15:00+05:30,9.35,28.0,8.23,0.02,NL-CHS1,within,within,within,within,False,evening,train
2022-11-07 06:50:00+05:30,4.2,31.0,8.3,0.0,NL-CHS1,within,within,within,within,True,morning,train
2022-12-07 07:18:00+05:30,3.5,38.0,8.24,0.06,NL-CHS1,within,within,within,within,True,morning,train
2022-12-07 16:20:00+05:30,10.4,,8.09,,NL-CHS1,within,within,,,False,evening,train
2023-01-06 07:01:00+05:30,3.4,36.0,8.02,0.14,NL-CHS1,within,within,within,within,True,morning,train
2023-01-06 16:15:00+05:30,8.9,,8.24,,NL-CHS1,within,within,,,False,evening,train
2023-02-06 07:14:00+05:30,4.4,33.0,7.9,0.09,NL-CHS1,within,within,within,within,True,morning,train
2023-02-06 15:56:00+05:30,10.3,,8.2,,NL-CHS1,within,within,,,False,evening,train
2023-02-23 06:48:00+05:30,4.6,34.0,8.4,0.16,NL-CHS1,within,within,within,within,True,morning,train
2023-02-23 16:18:00+05:30,11.2,,8.6,,NL-CHS1,within,above,,,False,evening,train
2023-03-21 07:28:00+05:30,3.6,29.0,7.9,0.16,NL-CHS1,within,within,within,within,True,morning,train
2023-03-21 17:09:00+05:30,9.1,,8.4,,NL-CHS1,within,within,,,False,evening,train
2023-04-21 07:03:00+05:30,3.9,28.0,8.0,0.21,NL-CHS1,within,within,within,within,True,morning,train
2023-04-21 17:06:00+05:30,9.3,,8.2,,NL-CHS1,within,within,,,False,evening,train
2023-05-21 06:58:00+05:30,3.8,29.0,8.1,0.21,NL-CHS1,within,within,within,within,True,morning,train
2023-05-21 17:21:00+05:30,10.8,,8.2,,NL-CHS1,within,within,,,False,evening,train
2023-06-21 07:03:00+05:30,3.8,35.0,8.0,0.14,NL-CHS1,within,within,within,within,True,morning,train
2023-06-21 17:15:00+05:30,8.8,,8.2,,NL-CHS1,within,within,,,False,evening,train
2023-07-31 06:25:00+05:30,3.4,22.0,7.9,0.21,NL-CHS1,within,within,within,within,True,morning,train
2023-07-31 17:04:00+05:30,8.9,,8.2,,NL-CHS1,within,within,,,False,evening,train
2023-08-22 07:21:00+05:30,3.4,38.0,8.1,0.04,NL-CHS1,within,within,within,within,True,morning,train
2023-08-22 17:34:00+05:30,8.9,,8.2,,NL-CHS1,within,within,,,False,evening,train
2023-09-21 07:11:00+05:30,3.6,24.0,8.0,0.14,NL-CHS1,within,within,within,within,True,morning,train
2023-09-21 16:58:00+05:30,9.6,,8.2,,NL-CHS1,within,within,,,False,evening,train
2023-10-21 07:05:00+05:30,3.4,28.0,8.23,0.19,NL-CHS1,within,within,within,within,True,morning,train
2023-10-21 16:53:00+05:30,8.7,,8.41,,NL-CHS1,within,within,,,False,evening,train
2021-12-23 06:54:00+05:30,3.05,29.0,7.61,0.0,NL-CHV1,within,within,within,within,True,morning,train
2021-12-23 16:35:00+05:30,8.2,,8.49,,NL-CHV1,within,within,,,False,evening,train
2022-02-07 06:45:00+05:30,4.35,32.0,8.31,0.0,NL-CHV1,within,within,within,within,True,morning,train
2022-02-07 16:50:00+05:30,8.15,32.0,8.23,,NL-CHV1,within,within,,within,False,evening,train
2022-02-21 06:50:00+05:30,4.35,41.0,7.36,0.0,NL-CHV1,within,within,within,within,True,morning,train
2022-02-21 16:55:00+05:30,8.4,41.0,7.92,,NL-CHV1,within,within,,within,False,evening,train
2022-03-08 06:55:00+05:30,3.95,57.0,8.04,0.0,NL-CHV1,within,within,within,above,True,morning,train
2022-03-08 17:05:00+05:30,8.75,57.0,7.95,,NL-CHV1,within,within,,above,False,evening,train
